name	numboxes	boxwidth	boxheight	box1left	box1right	box1top	box1bottom	box2left	box2right	box2top	box2bottom	box3left	box3right	box3top	box3bottom	box4left	box4right	box4top	box4bottom	box5left	box5right	box5top	box5bottom	box6left	box6right	box6top	box6bottom	box7left	box7right	box7top	box7bottom	box8left	box8right	box8top	box8bottom	box9left	box9right	box9top	box9bottom	box10left	box10right	box10top	box10bottom	box11left	box11right	box11top	box11bottom	box12left	box12right	box12top	box12bottom	box13left	box13right	box13top	box13bottom	box14left	box14right	box14top	box14bottom	box15left	box15right	box15top	box15bottom	box16left	box16right	box16top	box16bottom	*EOL
belt	16	29	29	423	452	562	591	454	483	562	591	485	514	562	591	516	545	562	591	423	452	530	559	454	483	530	559	485	514	530	559	516	545	530	559	423	452	498	527	454	483	498	527	485	514	498	527	516	545	498	527	423	452	466	495	454	483	466	495	485	514	466	495	516	545	466	495	0
sash	16	29	29	423	452	562	591	454	483	562	591	485	514	562	591	516	545	562	591	423	452	530	559	454	483	530	559	485	514	530	559	516	545	530	559	423	452	498	527	454	483	498	527	485	514	498	527	516	545	498	527	423	452	466	495	454	483	466	495	485	514	466	495	516	545	466	495	0
default	16	29	29	423	452	562	591	454	483	562	591	485	514	562	591	516	545	562	591	423	452	530	559	454	483	530	559	485	514	530	559	516	545	530	559	423	452	498	527	454	483	498	527	485	514	498	527	516	545	498	527	423	452	466	495	454	483	466	495	485	514	466	495	516	545	466	495	0
girdle	16	29	29	423	452	562	591	454	483	562	591	485	514	562	591	516	545	562	591	423	452	530	559	454	483	530	559	485	514	530	559	516	545	530	559	423	452	498	527	454	483	498	527	485	514	498	527	516	545	498	527	423	452	466	495	454	483	466	495	485	514	466	495	516	545	466	495	0
light belt	16	29	29	423	452	562	591	454	483	562	591	485	514	562	591	516	545	562	591	423	452	530	559	454	483	530	559	485	514	530	559	516	545	530	559	423	452	498	527	454	483	498	527	485	514	498	527	516	545	498	527	423	452	466	495	454	483	466	495	485	514	466	495	516	545	466	495	0
heavy belt	16	29	29	423	452	562	591	454	483	562	591	485	514	562	591	516	545	562	591	423	452	530	559	454	483	530	559	485	514	530	559	516	545	530	559	423	452	498	527	454	483	498	527	485	514	498	527	516	545	498	527	423	452	466	495	454	483	466	495	485	514	466	495	516	545	466	495	0
uber belt	16	29	29	423	452	562	591	454	483	562	591	485	514	562	591	516	545	562	591	423	452	530	559	454	483	530	559	485	514	530	559	516	545	530	559	423	452	498	527	454	483	498	527	485	514	498	527	516	545	498	527	423	452	466	495	454	483	466	495	485	514	466	495	516	545	466	495	0
Expansion	16	29	29	423	452	562	591	454	483	562	591	485	514	562	591	516	545	562	591	423	452	530	559	454	483	530	559	485	514	530	559	516	545	530	559	423	452	498	527	454	483	498	527	485	514	498	527	516	545	498	527	423	452	466	495	454	483	466	495	485	514	466	495	516	545	466	495	0
belt2	16	29	29	423	452	562	591	454	483	562	591	485	514	562	591	516	545	562	591	423	452	530	559	454	483	530	559	485	514	530	559	516	545	530	559	423	452	498	527	454	483	498	527	485	514	498	527	516	545	498	527	423	452	466	495	454	483	466	495	485	514	466	495	516	545	466	495	0
sash2	16	29	29	423	452	562	591	454	483	562	591	485	514	562	591	516	545	562	591	423	452	530	559	454	483	530	559	485	514	530	559	516	545	530	559	423	452	498	527	454	483	498	527	485	514	498	527	516	545	498	527	423	452	466	495	454	483	466	495	485	514	466	495	516	545	466	495	0
default2	16	29	29	423	452	562	591	454	483	562	591	485	514	562	591	516	545	562	591	423	452	530	559	454	483	530	559	485	514	530	559	516	545	530	559	423	452	498	527	454	483	498	527	485	514	498	527	516	545	498	527	423	452	466	495	454	483	466	495	485	514	466	495	516	545	466	495	0
girdle2	16	29	29	423	452	562	591	454	483	562	591	485	514	562	591	516	545	562	591	423	452	530	559	454	483	530	559	485	514	530	559	516	545	530	559	423	452	498	527	454	483	498	527	485	514	498	527	516	545	498	527	423	452	466	495	454	483	466	495	485	514	466	495	516	545	466	495	0
light belt2	16	29	29	423	452	562	591	454	483	562	591	485	514	562	591	516	545	562	591	423	452	530	559	454	483	530	559	485	514	530	559	516	545	530	559	423	452	498	527	454	483	498	527	485	514	498	527	516	545	498	527	423	452	466	495	454	483	466	495	485	514	466	495	516	545	466	495	0
heavy belt2	16	29	29	423	452	562	591	454	483	562	591	485	514	562	591	516	545	562	591	423	452	530	559	454	483	530	559	485	514	530	559	516	545	530	559	423	452	498	527	454	483	498	527	485	514	498	527	516	545	498	527	423	452	466	495	454	483	466	495	485	514	466	495	516	545	466	495	0
uber belt	16	29	29	423	452	562	591	454	483	562	591	485	514	562	591	516	545	562	591	423	452	530	559	454	483	530	559	485	514	530	559	516	545	530	559	423	452	498	527	454	483	498	527	485	514	498	527	516	545	498	527	423	452	466	495	454	483	466	495	485	514	466	495	516	545	466	495	0
