name	version	compactsave	rarity	spawnable	minac	maxac	absorbs	speed	reqstr	block	durability	nodurability	level	levelreq	cost	gamble cost	code	namestr	magic lvl	auto prefix	alternategfx	OpenBetaGfx	normcode	ubercode	ultracode	spelloffset	component	invwidth	invheight	hasinv	gemsockets	gemapplytype	flippyfile	invfile	uniqueinvfile	setinvfile	rArm	lArm	Torso	Legs	rSPad	lSPad	useable	throwable	stackable	minstack	maxstack	type	type2	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	missiletype	durwarning	qntwarning	mindam	maxdam	StrBonus	DexBonus	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	mindam	maxdam	nameable
Cap/hat	0	0	2	1	3	5	0	0	0	0	30	0	1	0	42	9048	cap	cap			cap	cap	cap	xap	uap	0	0	2	2	1	4	1	flpcap	invcap	invcapu	invcapu							0	0	0	0	0	helm		item_cap	12	item_cap	0	0	5	0	0	0	0	0	3	0	0	0			0	1	1	1	1	1	5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	8	0	skp	ghm	0	0	1
Skull Cap	0	0	4	1	8	11	0	0	15	0	30	0	5	0	176	16656	skp	skp			skp	skp	skp	xkp	ukp	0	0	2	2	1	4	1	flpskp	invskp									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3	1	1	1	1	5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	8	0	hlm	crn	0	0	1
Helm	0	0	4	1	15	18	0	0	26	0	30	0	11	0	502	36852	hlm	hlm			hlm	hlm	hlm	xlm	ulm	0	0	2	2	1	4	1	flphlm	invhlm	invhlmu	invhlmu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					5					5					5	1	2	1	1	20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	8	0	fhl	ghm	0	0	1
Full Helm	0	0	4	1	23	26	0	0	41	0	30	0	15	0	904	64818	fhl	fhl			fhl	hlm	fhl	xhl	uhl	0	0	2	2	1	4	1	flpfhl	invfhl	invfhlu	invfhlu							0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					5					5					5	1	1		1	20					20					20					20					20					20					20					20					20					20					20					20					20					20			0	8	0	ghm	xxx	0	0	1
Great Helm	0	0	4	1	30	35	0	0	63	0	30	0	23	0	1648	148548	ghm	ghm			ghm	hlm	ghm	xhm	uhm	0	0	2	2	1	4	1	flpghm	invghm									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					5					5					5					20					20					20	2	2	1	1	20					20					20					20					20					20	1	1	1	1	20					20		1	1	1	20					20					20			7	8	0	crn	xxx	0	0	1
Crown	0	0	4	1	25	45	0	0	55	0	30	0	29	0	2146	232500	crn	crn		312	crn	hlm	crn	xrn	urn	0	0	2	2	1	4	1	flpcrn	invcrn									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					5					5					5					20					20					20	1	1		1	20					20					20					20					20					20	1	1	1	1	20					20		1	1	1	20					20					20			2	8	0	xxx	xxx	0	0	1
Mask	0	0	4	1	9	27	0	0	23	0	30	0	19	0	842	76710	msk	msk		307	msk	hlm	msk	xsk	usk	0	0	2	2	1	4	1	flpmsk	invmsk									0	0	0	0	0	helm		item_helm	12	item_helm	0	0	5	0	0	0	0	0	3	0	0	0			0	3					5					5					5					20					20					20					20					20		1		1	20					20					20					20					20					20					20					20					20			1	2	0	xxx	xxx	0	0	1
Quilted Armor	0	0	2	1	8	11	0	0	10	0	30	0	1	0	72	9108	qui	qui		313	qlt	qlt	qui	xui	uui	0	1	2	3	1	6	1	flpqlt	invqlt			0	0	0	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1	1	1	1	1	5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			7	8	0	lea	gth	0	0	1
Leather Armor	0	0	2	1	14	17	0	0	15	0	30	0	3	0	190	13080	lea	lea		313	lea	lea	lea	xea	uea	0	1	2	3	1	6	1	flplea	invlea			0	0	1	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1	1	1	1	1	5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			7	8	0	hla	ful	0	0	1
Hard Leather Armor	0	0	3	1	21	24	0	0	20	0	30	0	5	0	364	18972	hla	hla		313	hla	hla	hla	xla	ula	0	1	2	3	1	6	1	flphla	invhla			1	1	1	0	1	1	0	0	0	0	0	tors		item_lightarmor	12	item_lightarmor	0	0	5	0	0	0	0	0	2	0	0	0			0	1	1	1	1	1	5					5					5					20					20					20					20					20					20					20					20					20					20					20					20					20					20			7	8	0	stu	aar	0	0	1
