Name	version	spawnable	rare	level	maxlevel	levelreq	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transform	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	divide	multiply	add
Fletcher's	100	1	1	1	80	15			3	300	skilltab	0	1	1											armo	weap									0	0	0
Bowyer's	100	1	1	40		30			2	300	skilltab	0	2	2											armo	weap									0	0	0
Archer's	100	1	1	60		45			1	300	skilltab	0	3	3											armo	weap									0	0	0
Acrobat's	100	1	1	1	80	15			3	301	skilltab	1	1	1											armo	weap									0	0	0
Gymnast's	100	1	1	40		30			2	301	skilltab	1	2	2											armo	weap									0	0	0
Athlete's	100	1		60		45			1	301	skilltab	1	3	3											armo	weap									0	0	0
Harpoonist's	100	1	1	1	80	15			3	302	skilltab	2	1	1											armo	weap									0	0	0
Spearmaiden's	100	1	1	40		30			2	302	skilltab	2	2	2											armo	weap									0	0	0
Lancer's	100	1	1	60		45			1	302	skilltab	2	3	3											armo	weap									0	0	0
of the Jackal	100	1	1	1	65	3			6	303	hp		1	10											armo	weap									0	0	0
of the Fox	100	1	1	11	85	8			5	303	hp		11	25											armo	weap									0	0	0
of the Wolf	100	1	1	27	95	20			4	303	hp		26	40											armo	weap									0	0	0
of the Tiger	100	1	1	43		35			3	303	hp		41	60											armo	weap									0	0	0
of the Mammoth	100	1	1	59		51			2	303	hp		61	80											armo	weap									0	0	0
of the Colossus	100	1	1	75		67			1	303	hp		81	100											armo	weap									0	0	0
Lizard's	100	1	1	3	65	2			4	303	mana		1	10											armo	weap									0	0	0
Snake's	100	1	1	12	85	9			3	303	mana		11	25											armo	weap									0	0	0
Serpent's	100	1	1	23	95	16			2	303	mana		26	40											armo	weap									0	0	0
Drake's	100	1	1	34		26			2	303	mana		41	60									1	cblu	armo	weap									0	0	0
Dragon's	100	1	1	45		37			1	303	mana		61	80									1	cblu	armo	weap									0	0	0
Wyrm's	100	1	1	56		48			1	303	mana		81	100									1	cblu	armo	weap									0	0	0
Great Wyrm's	100	1	1	67		59			1	303	mana		101	125									1	cblu	armo	weap									0	0	0
Shimmering	100	1	1	1	50	3			8	304	res-all		5	10											armo	weap									0	0	0
Rainbow	100	1	1	18	65	13			7	304	res-all		8	15											armo	weap									0	0	0
Scintillating	100	1	1	28	95	21			6	304	res-all		16	30											armo	weap									0	0	0
Prismatic	100	1	1	39		31			5	304	res-all		25	35											armo	weap									0	0	0
Chromatic	100	1	1	50		42			4	304	res-all		35	50											armo	weap									0	0	0
Sharp	100	1	1	10	50	5			3	304	att		15	30	dmg%		15	30							armo	weap									0	0	0
Fine	100	1	1	18	65	13			3	304	att		31	60	dmg%		32	45							armo	weap									0	0	0
Warrior's	100	1	1	30	95	23			2	304	att		61	80	dmg%		46	60							armo	weap									0	0	0
Soldier's	100	1	1	42		34			2	304	att		81	100	dmg%		62	75							armo	weap									0	0	0
Knight's	100	1	1	50		42			2	304	att		101	121	dmg%		76	98					1	dgld	armo	weap									0	0	0
of Blight	100	1	1	1	40	3			3	305	dmg-pois	75	14	42											armo	weap									0	0	0
of Venom	100	1	1	15	60	11			2	305	dmg-pois	75	20	84											armo	weap									0	0	0
of Pestilence	100	1	1	25	80	18			2	305	dmg-pois	100	38	122											armo	weap									0	0	0
of Anthrax	100	1	1	33		25			2	305	dmg-pois	100	80	244											armo	weap									0	0	0
Sharp	100	1	1	10	60	5			3	306	att		20	45	dmg%		15	25							armo	weap									0	0	0
Fine	100	1	1	18	85	13			3	306	att		45	70	dmg%		25	35							armo	weap									0	0	0
Warrior's	100	1	1	30	95	23			2	306	att		70	95	dmg%		35	45							armo	weap									0	0	0
Soldier's	100	1	1	42		34			2	306	att		95	120	dmg%		45	55							armo	weap									0	0	0
Knight's	100	1	1	50		42			2	306	att		120	150	dmg%		55	65					1	dgld	armo	weap									0	0	0
Demon Slayer	100	1	1	1	20	1			3	307	demon-heal		2	10											armo	weap									0	0	0
Demon Hunter	100	1	1	12	80	8			3	307	demon-heal		11	20											armo	weap									0	0	0
Demon Master	100	1	1	30		22			2	307	demon-heal		21	35											armo	weap									0	0	0
Thorned	100	1	1	1	20	1			3	308	thorns		2	8											armo	weap									0	0	0
Spiked	100	1	1	12	80	8			3	308	thorns		9	18											armo	weap									0	0	0
Cutting	100	1	1	30		22			2	308	thorns		19	35											armo	weap									0	0	0
Terrible	100	1	1	1	20	1			3	309	howl		16	32											armo	weap									0	0	0
Horrible	100	1	1	12	80	8			3	309	howl		32	64											armo	weap									0	0	0
Unbearable	100	1	1	30		22			2	309	howl		65	130											armo	weap									0	0	0
of the Jackal	100	1	1	1	20	3			3	310	hp		1	10											armo	weap									0	0	0
of the Fox	100	1	1	11	60	8			3	310	hp		11	25											armo	weap									0	0	0
of the Wolf	100	1	1	27	85	20			2	310	hp		26	40											armo	weap									0	0	0
of the Tiger	100	1	1	43	95	35			2	310	hp		41	60											armo	weap									0	0	0
of the Mammoth	100	1	1	59		51			1	310	hp		61	80											armo	weap									0	0	0
of the Colossus	100	1	1	75		67			1	310	hp		81	100											armo	weap									0	0	0
Wounding	100	1	1	1	20	1			3	311	wounds/time	2	5	25											armo	weap									0	0	0
Bloody	100	1	1	12	80	8			3	311	wounds/time	2	10	40											armo	weap									0	0	0
Bleeding	100	1	1	30		22			2	311	wounds/time	2	15	60											armo	weap									0	0	0
Lucky	100	1	1	1	40	1			2	312	mag%/lvl	3													armo	weap									0	0	0
Fortutious	100	1	1	12	85	8			2	312	mag%/lvl	4													armo	weap									0	0	0
Looking	100	1	1	30		22			1	312	mag%/lvl	6													armo	weap									0	0	0
adr	100	1	1	1	40	3			3	313	red-dmg		1	5											armo	weap									0	0	0
adr	100	1	1	11	85	12			2	313	red-dmg		6	10											armo	weap									0	0	0
adr	100	1	1	27	95	24			2	313	red-dmg		11	15											armo	weap									0	0	0
adr	100	1	1	43		46			1	313	red-dmg		16	20											armo	weap									0	0	0
adr	100	1	1	59		72			1	313	red-dmg		21	30											armo	weap									0	0	0
adr	100	1	1	1	40	3			3	313	red-mag		1	5											armo	weap									0	0	0
adr	100	1	1	11	85	12			2	313	red-mag		6	10											armo	weap									0	0	0
adr	100	1	1	27	95	24			2	313	red-mag		11	15											armo	weap									0	0	0
adr	100	1	1	43		46			1	313	red-mag		16	20											armo	weap									0	0	0
adr	100	1	1	59		72			1	313	red-mag		21	30											armo	weap									0	0	0
Ethereal	100	1	1	999		0			1	500															armo	weap									0	0	0
ThowSockets0	100	0	1	999					12	314															armo	weap									0	0	0
ThowSockets1	100	0	1	999					1	314	sock		1	1	ethereal		1	1							armo	weap									0	0	0
ThowSockets2	100	0	1	999					1	314	sock		2	2	ethereal		1	1							armo	weap									0	0	0
ThowSockets3	100	0	1	999					1	314	sock		3	3	ethereal		1	1							armo	weap									0	0	0
ThowSockets4	100	0	1	999					1	314	sock		4	4	ethereal		1	1							armo	weap									0	0	0
ThowSockets5	100	0	1	999					1	314	sock		5	5	ethereal		1	1							armo	weap									0	0	0
ThowSockets6	100	0	1	999					1	314	sock		6	6	ethereal		1	1							armo	weap									0	0	0
pois1	100	1	1	1	41	1			3	315	dmg-pois	75	14	42	levelreq	1	1	1							xboq	bowq									0	0	0
pois2	100	1	1	21	61	15			3	315	dmg-pois	75	20	84	levelreq	15	15	15							xboq	bowq									0	0	0
pois3	100	1	1	41		30			2	315	dmg-pois	100	38	122	levelreq	30	30	30							xboq	bowq									0	0	0
pois4	100	1	1	61		45			2	315	dmg-pois	100	80	244	levelreq	45	45	45							xboq	bowq									0	0	0
light1	100	1	1	1	41	1			7	315	dmg-ltng		1	8	levelreq	1	1	1							xboq	bowq									0	0	0
light2	100	1	1	21	61	15			6	315	dmg-ltng		1	46	levelreq	15	15	15							xboq	bowq									0	0	0
light3	100	1	1	41		30			5	315	dmg-ltng		1	96	levelreq	30	30	30							xboq	bowq									0	0	0
light4	100	1	1	61		45			4	315	dmg-ltng		1	240	levelreq	45	45	45							xboq	bowq									0	0	0
fire1	100	1	1	1	41	1			7	315	dmg-fire		1	8	levelreq	1	1	1							xboq	bowq									0	0	0
fire2	100	1	1	21	61	15			6	315	dmg-fire		12	32	levelreq	15	15	15							xboq	bowq									0	0	0
fire3	100	1	1	41		30			5	315	dmg-fire		44	86	levelreq	30	30	30							xboq	bowq									0	0	0
fire4	100	1	1	61		45			4	315	dmg-fire		82	160	levelreq	45	45	45							xboq	bowq									0	0	0
cold1	100	1	1	1	41	1			3	315	dmg-cold	35	1	4	levelreq	1	1	1							xboq	bowq									0	0	0
cold2	100	1	1	21	61	15			3	315	dmg-cold	75	10	28	levelreq	15	15	15							xboq	bowq									0	0	0
cold3	100	1	1	41		30			2	315	dmg-cold	110	38	72	levelreq	30	30	30							xboq	bowq									0	0	0
cold4	100	1	1	61		45			2	315	dmg-cold	150	70	120	levelreq	45	45	45							xboq	bowq									0	0	0
magic1	100	1	1	1	41	1			2	315	dmg-mag		1	8	levelreq	1	1	1							xboq	bowq									0	0	0
magic2	100	1	1	21	61	15			2	315	dmg-mag		12	32	levelreq	15	15	15							xboq	bowq									0	0	0
magic3	100	1	1	41		30			1	315	dmg-mag		44	86	levelreq	30	30	30							xboq	bowq									0	0	0
magic4	100	1	1	61		45			1	315	dmg-mag		82	160	levelreq	45	45	45							xboq	bowq									0	0	0
Harpoonist's	100	1	1	1	10	15			5	317	skilltab	2	1	1	red-dmg%		1	10	hp%		2	20			armo	weap									0	0	0
Harpoonist's	100	1	1	10	60	15			4	317	skilltab	2	1	1	red-dmg%		8	15	hp%		16	30			armo	weap									0	0	0
Harpoonist's	100	1	1	20		15			3	317	skilltab	2	1	1	red-dmg%		15	20	hp%		30	40			armo	weap									0	0	0
Spearmaiden's	100	1	1	40	60	30			4	317	skilltab	2	2	2	red-dmg%		15	20	hp%		30	40			armo	weap									0	0	0
Spearmaiden's	100	1	1	40		30			3	317	skilltab	2	2	2	red-dmg%		22	30	hp%		44	60			armo	weap									0	0	0
Spearmaiden's	100	1	1	40		30			2	317	skilltab	2	2	2	red-dmg%		29	34	hp%		58	64			armo	weap									0	0	0
Lancer's	100	1	1	60		45			3	317	skilltab	2	3	3	red-dmg%		29	34	hp%		58	64			armo	weap									0	0	0
Lancer's	100	1	1	60		45			2	317	skilltab	2	3	3	red-dmg%		36	40	hp%		72	80			armo	weap									0	0	0
Lancer's	100	1	1	60		45			1	317	skilltab	2	3	3	red-dmg%		43	50	hp%		86	100			armo	weap									0	0	0
of the Jackal	100	1	1	1	34	3			6	403	hp		1	10	ac		2	20	red-dmg%		1	10			armo	weap									0	0	0
of the Fox	100	1	1	11	45	8			5	403	hp		11	25	ac		24	60	red-dmg%		8	15			armo	weap									0	0	0
of the Wolf	100	1	1	27	56	20			4	403	hp		26	40	ac		84	120	red-dmg%		15	20			armo	weap									0	0	0
of the Tiger	100	1	1	43		35			3	403	hp		41	60	ac		124	200	red-dmg%		22	25			armo	weap									0	0	0
of the Mammoth	100	1	1	59		51			2	403	hp		61	80	ac		244	320	red-dmg%		29	30			armo	weap									0	0	0
of the Colossus	100	1	1	75		67			1	403	hp		81	100	ac		324	400	red-dmg%		36	40			armo	weap									0	0	0
Great Wyrm's	100	1	1	67		59			1	403	hp		101	125	ac		404	500	red-dmg%		43	50	1	cblu	armo	weap									0	0	0
Lizard's	100	1	1	3	34	2			4	403	mana		1	10	ac		2	20	red-dmg%		1	7			armo	weap									0	0	0
Snake's	100	1	1	12	45	9			3	403	mana		11	25	ac		32	60	red-dmg%		8	14			armo	weap									0	0	0
Serpent's	100	1	1	23	56	16			2	403	mana		26	40	ac		84	120	red-dmg%		15	21			armo	weap									0	0	0
Drake's	100	1	1	34		26			2	403	mana		41	60	ac		124	200	red-dmg%		22	28			armo	weap									0	0	0
Dragon's	100	1	1	45		37			1	403	mana		61	80	ac		244	320	red-dmg%		29	35			armo	weap									0	0	0
Wyrm's	100	1	1	56		48			1	403	mana		81	100	ac		324	400	red-dmg%		36	42			armo	weap									0	0	0
Great Wyrm's	100	1	1	67		59			1	403	mana		101	125	ac		404	500	red-dmg%		43	50	1	cred	armo	weap									0	0	0
red-dmg	100	1	1	3	34	2			4	400	red-dmg%		1	7											armo	weap									0	0	0
red-dmg	100	1	1	12	45	9			3	400	red-dmg%		8	14											armo	weap									0	0	0
red-dmg	100	1	1	23	56	16			2	400	red-dmg%		15	21											armo	weap									0	0	0
red-dmg	100	1	1	34	67	26			2	400	red-dmg%		22	28											armo	weap									0	0	0
red-dmg	100	1	1	45		37			1	400	red-dmg%		29	35											armo	weap									0	0	0
red-dmg	100	1	1	56		48			1	400	red-dmg%		36	42											armo	weap									0	0	0
red-dmg	100	1	1	67		59			1	400	red-dmg%		43	50											armo	weap									0	0	0
El	100	1		1		1			300	600	randrune		1	1											rndr										0	0	0
Eld	100	1		11		1			280	600	randrune		2	2											rndr										0	0	0
Tir	100	1		13		1			260	600	randrune		3	3											rndr										0	0	0
Nef	100	1		13		1			240	600	randrune		4	4											rndr										0	0	0
Eth	100	1		15		1			220	600	randrune		5	5											rndr										0	0	0
Ith	100	1		16		1			200	600	randrune		6	6											rndr										0	0	0
Tal	100	1		19		1			180	600	randrune		7	7											rndr										0	0	0
Ral	100	1		22		1			160	600	randrune		8	8											rndr										0	0	0
Ort	100	1		25		1			140	600	randrune		9	9											rndr										0	0	0
Thul	100	1		28		1			120	600	randrune		10	10											rndr										0	0	0
Amn	100	1		31		1			100	600	randrune		11	11											rndr										0	0	0
Sol	100	1		34		1			80	600	randrune		12	12											rndr										0	0	0
Shael	100	1		37		1			60	600	randrune		13	13											rndr										0	0	0
Dol	100	1		40		1			50	600	randrune		14	14											rndr										0	0	0
Hel	100	1		43		1			40	600	randrune		15	15											rndr										0	0	0
Io	100	1		46		1			35	600	randrune		16	16											rndr										0	0	0
Lum	100	1		49		1			25	600	randrune		17	17											rndr										0	0	0
Ko	100	1		52		1			15	600	randrune		18	18											rndr										0	0	0
Fal	100	1		55		1			10	600	randrune		19	19											rndr										0	0	0
Lem	100	1		58		1			7	600	randrune		20	20											rndr										0	0	0
Pul	100	1		61		1			4	600	randrune		21	21											rndr										0	0	0
Um	100	1		64		1			1	600	randrune		22	22											rndr										0	0	0
Mal	100	0		67		1				600	randrune		23	23											rndr										0	0	0
Ist	100	0		70		1				600	randrune		24	24											rndr										0	0	0
Gul	100	0		73		1				600	randrune		25	25											rndr										0	0	0
Vex	100	0		76		1				600	randrune		26	26											rndr										0	0	0
Ohm	100	0		79		1				600	randrune		27	27											rndr										0	0	0
Lo	100	0		82		1				600	randrune		28	28											rndr										0	0	0
Sur	100	0		85		1				600	randrune		29	29											rndr										0	0	0
Ber	100	0		88		1				600	randrune		30	30											rndr										0	0	0
