description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
SYSTEM	0																																																																																																							0
Staff of Kings + Viper amulet -> Horadric Staff	1			0	28				2	msf	vip						hst																																																																																							0
Khalim Flail + Khalim Heart + Khalim Eye + Khalim Brain -> Super Khalim Flail	1			0	28				4	qf1	qhr	qey	qbr				qf2																																																																																							0
1 Wirt's leg + 1 town portal book -> portal to cow lvl	1			0					2	leg	key						Cow Portal																																																																																							0
to temper ring	1			100					8	ring,uni	wms	gem4,qty=3	jew,qty=3				usetype,tmp				levelreq			0	0				1	1																																																																										0
to temper amulet	1			100					8	amu,uni	wms	gem4,qty=3	jew,qty=3				usetype,tmp				levelreq			0	0				1	1																																																																										0
to temper ring	1			100					8	ring,set	wms	gem4,qty=3	jew,qty=3				usetype,tmp				levelreq			0	0				1	1																																																																										0
to temper amulet	1			100					8	amu,set	wms	gem4,qty=3	jew,qty=3				usetype,tmp				levelreq			0	0				1	1																																																																										0
Warped ring cold defense	1			100					4	ring,tmp	gpb	randrune	jew				useitem				levelreq			1	1	res-cold			4	4																																																																										0
Warped ring cold attack	1			100					5	ring,tmp	gpb	randrune,qty=2	jew				useitem				levelreq			3	3	pierce-cold			2	2																																																																										0
Warped ring fire defense	1			100					4	ring,tmp	gpr	randrune	jew				useitem				levelreq			1	1	res-fire			4	4																																																																										0
Warped ring fire attack	1			100					5	ring,tmp	gpr	randrune,qty=2	jew				useitem				levelreq			3	3	pierce-fire			2	2																																																																										0
Warped ring lightning defense	1			100					4	ring,tmp	gpy	randrune	jew				useitem				levelreq			1	1	res-ltng			4	4																																																																										0
