Hireling	SubType	Version	Id	Class	Act	Difficulty	Level	Seller	NameFirst	NameLast	Gold	Exp/Lvl	HP	HP/Lvl	Defense	Def/Lvl	Str	Str/Lvl	Dex	Dex/Lvl	AR	AR/Lvl	Share	Dmg-Min	Dmg-Max	Dmg/Lvl	Resist	Resist/Lvl	WType1	WType2	HireDesc	DefaultChance	Skill1	Mode1	Chance1	ChancePerLvl1	Level1	LvlPerLvl1	Skill2	Mode2	Chance2	ChancePerLvl2	Level2	LvlPerLvl2	Skill3	Mode3	Chance3	ChancePerLvl3	Level3	LvlPerLvl3	Skill4	Mode4	Chance4	ChancePerLvl4	Level4	LvlPerLvl4	Skill5	Mode5	Chance5	ChancePerLvl5	Level5	LvlPerLvl5	Skill6	Mode6	Chance6	ChancePerLvl6	Level6	LvlPerLvl6	Head	Torso	Weapon	Shield
Rogue Scout	Fire - Normal	100	0	271	1	1	1	150	merc01	merc41	1	1	60	28	15	8	35	16	45	24	18	18		7	15	4	0	6	miss		farw	0	Dodge	1	0	0	1	10	Immolation Arrow	4	33	0	10	5	Exploding Arrow	4	33	0	10	5	Blessed Aim	1	5	0	1	10	Fire Arrow	4	33	0	10	5							2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	1	150	merc01	merc41	1	1	60	28	295	15	35	16	45	24	430	36	1	7	15	4	0	6	miss		farw	0	Dodge	1	0	0	1	10	Immolation Arrow	4	33	0	10	5	Exploding Arrow	4	33	0	10	5	Blessed Aim	1	5	0	1	10	Fire Arrow	4	33	0	10	5							2	1	2	0
Rogue Scout	Fire - Normal	100	0	271	1	1	1	150	merc01	merc41	1	1	60	28	805	22	35	16	45	24	1348	54	2	7	15	4	0	8	miss		farw	0	Dodge	1	0	0	1	10	Immolation Arrow	4	33	0	10	5	Exploding Arrow	4	33	0	10	5	Blessed Aim	1	5	0	1	10	Fire Arrow	4	33	0	10	5							2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	50	150	merc01	merc41	1	1	1040	54	295	15	88	16	124	24	430	36	1	42	50	8	100	8	miss		farw	0	Dodge	1	0	0	1	10	Immolation Arrow	4	33	0	20	5	Exploding Arrow	4	33	0	20	5	Blessed Aim	1	5	0	1	10	Fire Arrow	4	33	0	20	5							2	1	2	0
Rogue Scout	Fire - Nightmare	100	2	271	1	2	50	150	merc01	merc41	1	1	1040	54	805	22	88	16	124	24	1348	54	2	42	50	8	100	8	miss		farw	0	Dodge	1	0	0	1	10	Immolation Arrow	4	33	0	20	5	Exploding Arrow	4	33	0	20	5	Blessed Aim	1	5	0	1	10	Fire Arrow	4	33	0	20	5							2	1	2	0
Rogue Scout	Fire - Hell	100	4	271	1	3	85	150	merc01	merc41	1	1	2876	94	805	22	139	16	200	24	1348	54	2	110	118	12	200	8	miss		farw	0	Dodge	1	0	0	1	10	Immolation Arrow	4	33	0	30	5	Exploding Arrow	4	33	0	30	5	Blessed Aim	1	5	0	1	10	Fire Arrow	4	33	0	30	5							2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	1	150	merc01	merc41	1	1	60	28	15	8	35	16	45	24	18	18		7	15	4	0	8	miss		carw	0	Dodge	1	0	0	1	10	Freezing Arrow	4	33	0	10	5	Ice Arrow	4	33	0	10	5	Blessed Aim	1	5	0	1	10	Cold Arrow	4	33	0	10	5							2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	1	150	merc01	merc41	1	1	60	28	295	15	35	16	45	24	430	36	1	7	15	4	0	8	miss		carw	0	Dodge	1	0	0	1	10	Freezing Arrow	4	33	0	10	5	Ice Arrow	4	33	0	10	5	Blessed Aim	1	5	0	1	10	Cold Arrow	4	33	0	10	5							2	1	2	0
Rogue Scout	Ice - Normal	100	1	271	1	1	1	150	merc01	merc41	1	1	60	28	805	22	35	16	45	24	1348	54	2	7	15	4	0	8	miss		carw	0	Dodge	1	0	0	1	10	Freezing Arrow	4	33	0	10	5	Ice Arrow	4	33	0	10	5	Blessed Aim	1	5	0	1	10	Cold Arrow	4	33	0	10	5							2	1	2	0
Rogue Scout	Ice - Nightmare	100	3	271	1	2	50	150	merc01	merc41	5000	1	1040	54	295	15	88	16	124	24	430	36	1	42	50	8	100	8	miss		carw	0	Dodge	1	0	0	1	10	Freezing Arrow	4	33	0	20	5	Ice Arrow	4	33	0	20	5	Blessed Aim	1	5	0	1	10	Cold Arrow	4	33	0	20	5							2	1	2	0
