class	invLeft	invRight	invTop	invBottom	gridX	gridY	gridLeft	gridRight	gridTop	gridBottom	gridBoxWidth	gridBoxHeight	rArmLeft	rArmRight	rArmTop	rArmBottom	rArmWidth	rArmHeight	torsoLeft	torsoRight	torsoTop	torsoBottom	torsoWidth	torsoHeight	lArmLeft	lArmRight	lArmTop	lArmBottom	lArmWidth	lArmHeight	headLeft	headRight	headTop	headBottom	headWidth	headHeight	neckLeft	neckRight	neckTop	neckBottom	neckWidth	neckHeight	rHandLeft	rHandRight	rHandTop	rHandBottom	rHandWidth	rHandHeight	lHandLeft	lHandRight	lHandTop	lHandBottom	lHandWidth	lHandHeight	beltLeft	beltRight	beltTop	beltBottom	beltWidth	beltHeight	feetLeft	feetRight	feetTop	feetBottom	feetWidth	feetHeight	glovesLeft	glovesRight	glovesTop	glovesBottom	glovesWidth	glovesHeight
Amazon	320	640	0	441	10	8	339	624	153	379	29	29	326	381	24	136	55	112	456	512	66	148	56	82	393	448	23	135	55	112	457	511	5	56	54	51	568	591	15	39	23	24	518	541	62	86	23	24	611	634	62	86	23	24	550	602	62	87	52	25	581	635	95	148	54	52	520	574	95	148	54	53
Sorceress	320	640	0	441	10	8	339	624	153	379	29	29	326	381	24	136	55	112	456	512	66	148	56	82	393	448	23	135	55	112	457	511	5	56	54	51	568	591	15	39	23	24	518	541	62	86	23	24	611	634	62	86	23	24	550	602	62	87	52	25	581	635	95	148	54	52	520	574	95	148	54	53
Necromancer	320	640	0	441	10	8	339	624	153	379	29	29	326	381	24	136	55	112	456	512	66	148	56	82	393	448	23	135	55	112	457	511	5	56	54	51	568	591	15	39	23	24	518	541	62	86	23	24	611	634	62	86	23	24	550	602	62	87	52	25	581	635	95	148	54	52	520	574	95	148	54	53
Paladin	320	640	0	441	10	8	339	624	153	379	29	29	326	381	24	136	55	112	456	512	66	148	56	82	393	448	23	135	55	112	457	511	5	56	54	51	568	591	15	39	23	24	518	541	62	86	23	24	611	634	62	86	23	24	550	602	62	87	52	25	581	635	95	148	54	52	520	574	95	148	54	53
Barbarian	320	640	0	441	10	8	339	624	153	379	29	29	326	381	24	136	55	112	456	512	66	148	56	82	393	448	23	135	55	112	457	511	5	56	54	51	568	591	15	39	23	24	518	541	62	86	23	24	611	634	62	86	23	24	550	602	62	87	52	25	581	635	95	148	54	52	520	574	95	148	54	53
Monster	0	321	0	442	10	10	16	305	63	372	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1	0	321	0	219	10	5	20	305	33	178	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2	0	321	220	442	10	5	20	305	248	393	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page 1	0	321	220	442	10	10	16	303	82	371	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box Page 1	0	321	220	442	10	8	16	306	16	248	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Guild Vault Page 1	0	321	220	442	10	8	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page 1	0	321	220	442	10	8	16	303	199	313	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Expansion																																																																								
Big Bank Page 1	0	321	220	442	10	10	16	303	82	371	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling	-1	-1	-1	-1	0	0	-1	-1	-1	-1	29	29	20	75	4	116	55	112	136	191	64	147	55	83	251	307	4	116	56	112	136	191	3	59	55	56	208	233	32	58	25	26	93	118	121	147	25	26	208	233	122	148	25	26	136	191	154	178	55	24	251	306	122	178	55	56	20	75	121	178	55	57
Druid	320	640	0	441	10	8	339	624	153	379	29	29	326	381	24	136	55	112	456	512	66	148	56	82	393	448	23	135	55	112	457	511	5	56	54	51	568	591	15	39	23	24	518	541	62	86	23	24	611	634	62	86	23	24	550	602	62	87	52	25	581	635	95	148	54	52	520	574	95	148	54	53
Assassin	320	640	0	441	10	8	339	624	153	379	29	29	326	381	24	136	55	112	456	512	66	148	56	82	393	448	23	135	55	112	457	511	5	56	54	51	568	591	15	39	23	24	518	541	62	86	23	24	611	634	62	86	23	24	550	602	62	87	52	25	581	635	95	148	54	52	520	574	95	148	54	53
Amazon2	400	720	60	601	10	8	419	704	212	440	29	29	406	461	84	196	55	112	536	592	128	210	56	82	471	526	84	196	55	112	538	592	64	115	54	51	648	671	74	98	23	24	598	621	120	144	23	24	691	714	120	144	23	24	630	682	119	144	52	25	660	714	154	207	54	52	600	654	154	207	54	53
Sorceress2	400	720	60	601	10	8	419	704	212	440	29	29	406	461	84	196	55	112	536	592	128	210	56	82	471	526	84	196	55	112	538	592	64	115	54	51	648	671	74	98	23	24	598	621	120	144	23	24	691	714	120	144	23	24	630	682	119	144	52	25	660	714	154	207	54	52	600	654	154	207	54	53
Necromancer2	400	720	60	601	10	8	419	704	212	440	29	29	406	461	84	196	55	112	536	592	128	210	56	82	471	526	84	196	55	112	538	592	64	115	54	51	648	671	74	98	23	24	598	621	120	144	23	24	691	714	120	144	23	24	630	682	119	144	52	25	660	714	154	207	54	52	600	654	154	207	54	53
Paladin2	400	720	60	601	10	8	419	704	212	440	29	29	406	461	84	196	55	112	536	592	128	210	56	82	471	526	84	196	55	112	538	592	64	115	54	51	648	671	74	98	23	24	598	621	120	144	23	24	691	714	120	144	23	24	630	682	119	144	52	25	660	714	154	207	54	52	600	654	154	207	54	53
Barbarian2	400	720	60	601	10	8	419	704	212	440	29	29	406	461	84	196	55	112	536	592	128	210	56	82	471	526	84	196	55	112	538	592	64	115	54	51	648	671	74	98	23	24	598	621	120	144	23	24	691	714	120	144	23	24	630	682	119	144	52	25	660	714	154	207	54	52	600	654	154	207	54	53
Monster2	80	401	60	502	10	10	96	385	123	412	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 1-2	80	401	60	279	10	5	100	390	91	237	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trade Page 2-2	80	401	280	502	10	5	100	390	305	451	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Bank Page2	80	401	280	502	10	10	96	382	142	431	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Transmogrify Box2	80	401	280	502	10	8	96	383	76	307	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Guild Vault Page2	80	401	280	502	10	8	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Trophy Case Page2	80	401	280	502	10	8	96	383	259	373	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Big Bank Page2	80	401	280	502	10	10	96	382	142	431	29	29	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hireling2	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	29	100	155	64	176	55	112	216	271	124	207	55	83	331	387	64	176	56	112	216	271	63	119	55	56	288	313	92	118	25	26	173	198	181	207	25	26	288	313	182	208	25	26	216	271	214	238	55	24	331	386	182	238	55	56	100	155	181	238	55	57
Druid2	400	720	60	601	10	8	419	704	212	440	29	29	406	461	84	196	55	112	536	592	128	210	56	82	471	526	84	196	55	112	538	592	64	115	54	51	648	671	74	98	23	24	598	621	120	144	23	24	691	714	120	144	23	24	630	682	119	144	52	25	660	714	154	207	54	52	600	654	154	207	54	53
Assassin2	400	720	60	601	10	8	419	704	212	440	29	29	406	461	84	196	55	112	536	592	128	210	56	82	471	526	84	196	55	112	538	592	64	115	54	51	648	671	74	98	23	24	598	621	120	144	23	24	691	714	120	144	23	24	630	682	119	144	52	25	660	714	154	207	54	52	600	654	154	207	54	53
