Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)		
0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		
1	6	92	147	6	108	208	8	108	216	8	108	259	7	107	830	7	107	1328	2	3	4	2	3	5	30	78	117	30	78	117		6
2	12	102	162	12	120	228	12	126	254	12	126	305	9	113	852	9	113	1363	3	4	6	3	4	7	40	104	156	40	104	156		8
3	18	112	177	18	132	250	18	144	292	18	144	350	12	120	875	12	120	1400	3	4	6	3	4	7	50	131	197	50	131	197		8
4	24	122	192	24	144	271	26	162	330	26	162	396	15	125	897	15	125	1435	4	5	7	4	5	8	60	156	234	60	156	234		10
5	30	133	207	30	156	292	35	180	368	35	180	442	17	132	920	17	132	1472	4	5	7	4	5	8	70	182	273	70	182	273		10
6	36	143	222	36	168	313	45	198	406	45	198	487	20	139	942	20	139	1507	5	7	9	5	7	11	80	207	311	80	207	311		13
7	42	153	236	42	180	334	56	216	444	56	216	533	23	145	965	23	145	1544	5	7	9	5	7	11	90	234	351	90	234	351		13
8	48	163	252	48	192	355	67	234	482	67	234	578	27	152	987	27	152	1579	6	8	11	6	8	13	100	260	390	100	260	390		16
9	54	173	267	54	204	377	78	252	520	78	252	624	31	157	1010	31	157	1616	7	9	13	7	9	16	110	285	428	110	285	428		19
10	60	184	281	60	216	397	89	270	558	89	270	670	35	164	1032	35	164	1651	7	9	13	7	9	16	120	312	468	120	312	468		19
11	66	194	297	66	228	419	100	288	596	100	288	715	36	171	1055	36	171	1688	8	11	15	8	11	18	130	338	507	130	338	507		22
12	72	204	311	72	240	439	111	306	634	111	306	761	40	177	1077	40	177	1723	8	11	15	8	11	18	140	363	545	140	363	545		22
13	78	214	326	78	252	461	122	324	672	122	324	806	44	184	1100	44	184	1760	9	12	17	9	12	20	154	401	602	154	401	602		24
14	84	224	342	84	264	482	133	342	710	133	342	852	48	189	1122	48	189	1795	10	13	19	10	13	23	169	440	660	169	440	660		28
15	90	235	356	90	276	503	144	360	748	144	360	898	52	196	1145	52	196	1832	10	13	19	10	13	23	186	482	723	186	482	723		28
16	96	245	371	96	288	524	155	378	786	155	378	943	56	203	1167	56	203	1867	11	15	20	11	15	24	205	533	800	205	533	800		29
17	102	255	386	102	300	545	166	396	824	166	396	989	60	209	1190	60	209	1904	11	15	20	11	15	24	225	584	876	225	584	876		29
18	108	265	401	108	312	566	177	414	862	177	414	1034	64	216	1212	64	216	1939	12	16	22	12	16	26	248	644	966	248	644	966		31
19	114	275	417	114	324	588	188	432	900	188	432	1080	68	221	1235	68	221	1976	13	17	24	13	17	29	273	708	1062	273	708	1062		35
20	120	286	431	120	336	608	199	450	938	199	450	1126	73	228	1257	73	228	2011	13	17	24	13	17	29	300	779	1169	300	779	1169		35
21	126	296	446	126	348	630	210	468	976	210	468	1171	78	236	1280	78	236	2048	14	19	26	14	19	31	330	857	1286	330	857	1286		37
22	132	306	461	132	360	650	221	486	1014	221	486	1217	84	243	1302	84	243	2083	14	19	26	14	19	31	363	942	1413	363	942	1413		37
23	138	316	476	138	372	672	232	504	1052	232	504	1262	89	248	1325	89	248	2120	15	20	28	15	20	34	399	1035	1553	399	1035	1553		41
24	144	326	491	144	384	694	243	522	1090	243	522	1308	94	255	1347	94	255	2155	16	21	30	16	21	36	439	1139	1709	439	1139	1709		43
25	150	337	506	150	396	714	254	540	1128	254	540	1354	100	261	1370	100	261	2192	16	21	30	16	21	36	470	1220	1830	470	1220	1830		43
26	156	347	521	156	408	736	265	558	1166	265	558	1399	106	268	1392	106	268	2227	17	23	31	17	23	37	503	1305	1958	503	1305	1958		44
27	162	357	536	162	420	756	276	576	1204	276	576	1445	113	275	1415	113	275	2264	17	23	31	17	23	37	538	1397	2096	538	1397	2096		44
28	168	367	551	168	432	778	287	594	1242	287	594	1490	120	280	1437	120	280	2299	18	24	33	18	24	40	576	1494	2241	576	1494	2241		48
29	174	377	566	174	444	799	298	612	1280	298	612	1536	126	287	1460	126	287	2336	19	25	35	19	25	42	616	1598	2397	616	1598	2397		50
30	180	388	581	180	456	820	309	630	1318	309	630	1582	134	320	1482	134	320	2371	19	25	35	19	25	42	659	1709	2564	659	1709	2564		50
31	186	398	596	186	468	841	320	648	1356	320	648	1627	142	355	1505	142	355	2408	20	27	37	20	27	44	706	1832	2748	706	1832	2748		53
32	192	408	610	192	480	862	331	666	1394	331	666	1673	150	388	1527	150	388	2443	20	27	37	20	27	44	755	1958	2937	755	1958	2937		53
33	198	418	626	198	492	883	342	684	1432	342	684	1718	158	423	1550	158	423	2480	21	28	39	21	28	47	808	2097	3146	808	2097	3146		56
34	204	428	641	204	504	905	353	702	1470	353	702	1764	166	456	1572	166	456	2515	22	29	41	22	29	49	864	2241	3362	864	2241	3362		59
35	210	439	655	210	516	925	364	720	1508	364	720	1810	174	491	1595	174	491	2552	22	29	41	22	29	49	925	2399	3599	925	2399	3599		59
36	216	449	671	216	528	947	375	738	1546	375	738	1855	182	525	1617	182	525	2587	23	31	43	23	31	52	990	2568	3852	990	2568	3852		62
37	222	459	685	222	540	967	386	756	1584	386	756	1901	190	559	1640	190	559	2624	23	31	43	23	31	52	1059	2745	4118	1059	2745	4118		62
38	228	469	700	228	552	989	397	774	1622	397	774	1946	198	593	1662	198	593	2659	24	32	44	24	32	53	1133	2939	4409	1133	2939	4409		64
39	234	479	716	234	564	1010	408	792	1660	408	792	1992	206	627	1685	206	627	2696	25	33	46	25	33	55	1212	3144	4716	1212	3144	4716		66
40	240	490	730	240	576	1031	419	810	1698	419	810	2038	215	661	1707	215	661	2731	25	33	46	25	33	55	1297	3365	5048	1297	3365	5048		66
41	246	500	745	246	588	1052	430	828	1736	430	828	2083	225	696	1730	225	696	2768	26	35	48	26	35	58	1388	3600	5400	1388	3600	5400		70
42	252	510	760	252	600	1073	441	846	1774	441	846	2129	234	729	1752	234	729	2803	26	35	48	26	35	58	1485	3852	5778	1485	3852	5778		70
43	258	520	775	258	612	1094	452	864	1812	452	864	2174	243	764	1775	243	764	2840	27	36	50	27	36	60	1589	4121	6182	1589	4121	6182		72
44	264	530	791	264	624	1116	463	882	1850	463	882	2220	253	797	1797	253	797	2875	28	37	52	28	37	62	1693	4409	6614	1693	4409	6614		74
45	270	541	805	270	636	1136	474	900	1888	474	900	2266	262	832	1820	262	832	2912	28	37	52	28	37	62	1797	4718	7077	1797	4718	7077		74
46	276	551	820	276	648	1158	485	918	1926	485	918	2311	271	867	1842	271	867	2947	29	39	54	29	39	65	1901	5051	7577	1901	5051	7577		78
47	282	561	835	282	660	1178	496	936	1964	496	936	2357	281	900	1865	281	900	2984	29	39	54	29	39	65	2005	5402	8103	2005	5402	8103		78
48	288	571	850	288	672	1200	507	954	2002	507	954	2402	290	935	1887	290	935	3019	30	40	56	30	40	67	2109	5783	8675	2109	5783	8675		80
49	294	581	865	294	684	1222	518	972	2040	518	972	2448	299	968	1910	299	968	3056	31	41	57	31	41	68	2213	6186	9279	2213	6186	9279		82
50	300	592	880	300	696	1242	529	990	2078	529	990	2494	310	1003	1932	310	1003	3091	31	41	57	31	41	68	2317	6618	9927	2317	6618	9927		82
51	306	602	895	306	708	1264	540	1008	2116	540	1008	2539	321	1037	1955	321	1037	3128	32	43	59	32	43	71	2421	7080	10620	2421	7080	10620		85
52	312	612	910	312	720	1284	551	1026	2154	551	1026	2585	331	1071	1977	331	1071	3163	32	43	59	32	43	71	2525	7506	11259	2525	7506	11259		85
53	318	622	925	318	732	1306	562	1044	2192	562	1044	2630	342	1105	2000	342	1105	3200	33	44	61	33	44	73	2629	7956	11934	2629	7956	11934		88
54	324	632	940	324	744	1327	573	1062	2230	573	1062	2676	352	1139	2030	352	1139	3248	34	45	63	34	45	76	2733	8435	12653	2733	8435	12653		91
55	330	643	955	330	756	1348	584	1080	2268	584	1080	2722	363	1173	2075	363	1173	3320	34	45	63	34	45	76	2837	8942	13413	2837	8942	13413		91
56	336	653	970	336	768	1369	595	1098	2306	595	1098	2767	374	1208	2135	374	1208	3416	35	47	65	35	47	78	2941	9477	14216	2941	9477	14216		94
57	342	663	984	342	780	1390	606	1116	2344	606	1116	2813	384	1241	2222	384	1241	3554	35	47	65	35	47	78	3045	10044	15066	3045	10044	15066		94
58	348	673	1000	348	792	1411	617	1134	2382	617	1134	2858	395	1276	2308	395	1276	3692	36	48	67	36	48	80	3149	10647	15971	3149	10647	15971		96
59	354	683	1015	354	804	1433	628	1152	2420	628	1152	2904	406	1309	2394	406	1309	3830	37	49	68	37	49	82	3253	11286	16929	3253	11286	16929		98
60	360	694	1029	360	816	1453	639	1170	2458	639	1170	2950	418	1344	2480	418	1344	3968	37	49	68	37	49	82	3357	11964	17946	3357	11964	17946		98
61	366	704	1045	366	828	1475	650	1188	2496	650	1188	2995	430	1379	2567	430	1379	4106	38	51	70	38	51	84	3461	12680	19020	3461	12680	19020		101
62	372	714	1059	372	840	1495	661	1206	2534	661	1206	3041	442	1412	2653	442	1412	4244	38	51	70	38	51	84	3565	13442	20163	3565	13442	20163		101
63	378	724	1074	378	852	1517	672	1224	2572	672	1224	3086	454	1447	2739	454	1447	4382	39	52	72	39	52	86	3669	14249	21374	3669	14249	21374		103
64	384	734	1090	384	864	1538	683	1242	2610	683	1242	3132	466	1480	2825	466	1480	4520	39	52	72	39	52	86	3773	15104	22656	3773	15104	22656		103
65	390	745	1104	390	876	1559	694	1260	2648	694	1260	3178	477	1515	2912	477	1515	4658	40	53	74	40	53	89	3877	16010	24015	3877	16010	24015		107
66	396	755	1119	396	888	1580	705	1278	2686	705	1278	3223	489	1549	2998	489	1549	4796	41	55	76	41	55	91	3981	16916	25374	3981	16916	25374		109
67	402	765	1134	402	900	1601	716	1296	2724	716	1296	3269	501	1583	3084	501	1583	4934	41	55	76	41	55	91	4085	17822	26733	4085	17822	26733		109
68	408	775	1149	408	912	1622	727	1314	2762	727	1314	3314	513	1617	3170	513	1617	5072	42	56	78	42	56	94	4189	18728	28092	4189	18728	28092		113
