npc	buy mult	sell mult	rep mult	questflag A	questbuymult A	questsellmult A	questrepmult A	questflag B	questbuymult B	questsellmult B	questrepmult B	questflag C	questbuymult C	questsellmult C	questrepmult C	max buy	max buy (N)	max buy (H)
gheed	128	2048	128	4	1024	922	1024									30000	65000	100000
charsi	128	2048	128	4	1024	922	1024									30000	65000	100000
akara	128	2048	128	4	1024	922	1024									30000	65000	100000
lysander	128	2048	128	9	1024	922	1024									30000	65000	100000
drognan	128	2048	128	9	1024	922	1024									30000	65000	100000
elzix	128	2048	128	9	1024	922	1024									30000	65000	100000
fara	128	2048	128	9	1024	922	1024									30000	65000	100000
hratli	128	2048	128	17	1024	922	1024									30000	65000	100000
alkor	128	2048	128	17	1024	922	1024									30000	65000	100000
ormus	128	2048	128	17	1024	922	1024									30000	65000	100000
asheara	128	2048	128	17	1024	922	1024									30000	65000	100000
jamella	128	2048	128	41	1024	922	1024									30000	65000	100000
halbu	128	2048	128	41	1024	922	1024									30000	65000	100000
malah	128	2048	128	41	1024	922	1024									30000	65000	100000
drehya	128	2048	128	41	1024	922	1024									30000	65000	100000
larzuk	128	2048	128	41	1024	922	1024									30000	65000	100000
nihlathak	128	2048	128	41	1024	922	1024									30000	65000	100000
