index	set	item	*item	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	*eol
Civerb's Ward	Civerb's Vestments	lrg	Large Shield	7	13	13	lyel	lyel						5	5000	1	ac		10	20	block		5	25																													mana		21	22					res-pois		25	26																													0
Civerb's Icon	Civerb's Vestments	amu	Amulet	7	13	13	lyel	lyel						5	5000	2	regen-mana		20	50	regen		2	6																													res-cold		25	25					ac		25	25																													0
Civerb's Cudgel	Civerb's Vestments	gsc	Grand Scepter	7	13	13	lyel	lyel						5	5000		att		50	80	dmg-max		17	23	splash	proc_SplashDamage	100	1																									dmg/lvl	8																																							0
Hsarus' Iron Heel	Hsarus' Defense	mbt	Chain Boots	7	4	4	dred	dred						5	5000	2	res-fire		15	30	move2		10	25																													att/lvl	20																																							0
Hsarus' Iron Fist	Hsarus' Defense	buc	Buckler	7	4	4	dred	dred						5	5000	2	red-dmg		1	5	str		5	20																													ac/lvl	20																																							0
Hsarus' Iron Stay	Hsarus' Defense	mbl	Belt	7	4	4	dred	dred						5	5000	2	res-cold		10	30	hp		10	25																													ac/lvl	20																																							0
Cleglaw's Tooth	Cleglaw's Brace	lsd	Long Sword	7	6	6	lred	lred						5	5000	2	att%		15	40	deadly		25	70	splash	proc_SplashDamage	100	1																									dmg/lvl	10																																							0
Cleglaw's Claw	Cleglaw's Brace	sml	Small Shield	7	6	6	lred	lred						5	5000	2	ac		10	25	res-pois-len		25	80																													res-all		15	15																																					0
Cleglaw's Pincers	Cleglaw's Brace	mgl	Chain Gloves	7	6	6	lred	lred						5	5000	2	knock		1	1	slow		10	30																													att/lvl	20																																							0
Iratha's Collar	Iratha's Finery	amu	Amulet	7	21	21	lgry	lgry						5	5000	2	res-pois		15	40	res-pois-len		25	80																													res-all		15	15																																					0
Iratha's Cuff	Iratha's Finery	tgl	Light Gauntlets	7	21	21	lgry	lgry						5	5000	2	res-cold		15	40	half-freeze		1	1																													swing2		20	20																																					0
Iratha's Coil	Iratha's Finery	crn	Crown	7	21	21	lgry	lgry						5	5000	2	res-fire		15	40	res-ltng		15	40																													ac/lvl	16																																							0
Iratha's Cord	Iratha's Finery	tbl	Heavy Belt	7	21	21	lgry	lgry						5	5000	2	ac		15	30	dmg-min		3	7																													dex		10	10																																					0
Isenhart's Lightbrand	Isenhart's Armory	bsd	Broad Sword	7	11	11	lgld	lgld						5	5000	2	dmg-min		5	15	swing2		10	25	splash	proc_SplashDamage	100	1																									att/lvl	10																																							0
Isenhart's Parry	Isenhart's Armory	gts	Gothic Shield	7	11	11	lgld	lgld						5	5000	2	ac		20	50	vit		1	9																													res-all		8	8																																					0
Isenhart's Case	Isenhart's Armory	brs	Breast Plate	7	11	11	lgld	lgld						5	5000	2	ac		20	50	red-mag		1	3																													ac/lvl	16																																							0
Isenhart's Horns	Isenhart's Armory	fhl	Full Helm	7	11	11	lgld	lgld						5	5000	2	dex		5	10	red-dmg		1	3																													res-all		8	8																																					0
Vidala's Barb	Vidala's Rig	lbb	Long Battle Bow	7	19	19	blac	blac						5	5000	2	ltng-min		1	1	ltng-max		5	20																													att/lvl	16																																							0
Vidala's Fetlock	Vidala's Rig	tbt	Light Plated Boots	7	19	19	blac	blac						5	5000	2	vit		5	25	move3		10	40																													res-all		8	8																																					0
Vidala's Ambush	Vidala's Rig	lea	Leather Armor	7	19	19	blac	blac						5	5000	2	ac		25	60	dex		5	15																													res-fire		24	24					ac/lvl	20																															0
Vidala's Snare	Vidala's Rig	amu	Amulet	7	19	19	blac	blac						5	5000	2	hp		10	30	res-cold		10	25																													mag%		50	50																																					0
Milabrega's Orb	Milabrega's Regalia	kit	Kite Shield	7	23	23	dblu	dblu						5	5000	2	mag%		10	35	ac		10	30																													hp		50	50					ac%		50	50																													0
Milabrega's Rod	Milabrega's Regalia	wsp	War Scepter	7	23	23	dblu	dblu						5	5000		pal		1	2	dmg%		25	70	splash	proc_SplashDamage	100	1																									light		2	2																																					0
Milabrega's Diadem	Milabrega's Regalia	crn	Crown	7	23	23	dblu	dblu						5	5000	2	hp		10	30	mana		10	20																													res-cold		40	40																																					0
Milabrega's Robe	Milabrega's Regalia	aar	Ancient Armor	7	23	23	dblu	dblu						5	5000	2	vit		5	15	red-dmg		1	3																													ac%		100	100																																					0
Cathan's Rule	Cathan's Traps	bst	Battle Staff	7	15	15	dgrn	dgrn						5	5000	2	fireskill		1	2	fire-max		5	15	splash	proc_SplashDamage	100	1																									mana		50	50					res-all		10	10																													0
Cathan's Mesh	Cathan's Traps	chn	Chain Mail	7	15	15	dgrn	dgrn						5	5000	2	ac		10	30	ease		-25	-60																													vit		5	5					res-fire		30	30																													0
Cathan's Visage	Cathan's Traps	msk	Mask	7	15	15	dgrn	dgrn						5	5000	2	mana		10	30	res-cold		10	30																													ac/lvl	16																																							0
Cathan's Sigil	Cathan's Traps	amu	Amulet	7	15	15	dgrn	dgrn						5	5000	2	balance1		5	15	vit		1	9																													att		50	50					mag%		25	25																													0
Cathan's Seal	Cathan's Traps	rin	Ring	7	15	15	dgrn	dgrn						5	5000	2	lifesteal		3	8	red-dmg		1	3																													str		10	10																																					0
Tancred's Crowbill	Tancred's Battlegear	mpi	Military Pick	7	27	27	dgld	dgld						5	5000	2	att		50	100	dmg%		40	90	splash	proc_SplashDamage	100	1																									mana		20	20					swing2		20	20																													0
