index	name	version	level	PCode2a	PParam2a	PMin2a	PMax2a	PCode2b	PParam2b	PMin2b	PMax2b	PCode3a	PParam3a	PMin3a	PMax3a	PCode3b	PParam3b	PMin3b	PMax3b	PCode4a	PParam4a	PMin4a	PMax4a	PCode4b	PParam4b	PMin4b	PMax4b	PCode5a	PParam5a	PMin5a	PMax5a	PCode5b	PParam5b	PMin5b	PMax5b	FCode1	FParam1	FMin1	FMax1	FCode2	FParam2	FMin2	FMax2	FCode3	FParam3	FMin3	FMax3	FCode4	FParam4	FMin4	FMax4	FCode5	FParam5	FMin5	FMax5	FCode6	FParam6	FMin6	FMax6	FCode7	FParam7	FMin7	FMax7	FCode8	FParam8	FMin8	FMax8	*eol
Civerb's Vestments	Civerb's Vestments	0	13	res-fire		15	15																													str	0	15	15	aura	Sanctuary	1	1	res-ltng	0	25	25	allskills		2	2																	0
Hsarus' Defense	Hsarus' Defense	0	4	vit		15	15																													dmg-max	0	5	5	nofreeze	0	1	1	aura	Vigor	1	1	allskills		2	2																	0
Cleglaw's Brace	Cleglaw's Brace	0	6	ac		50	50																													aura	Blessed Aim	1	1	manasteal	0	6	6	crush	0	10	10	swing2		20	20	allskills		2	2													0
Iratha's Finery	Iratha's Finery	0	21	ac		50	50					move2		20	20																					aura	Prayer	1	1	res-fire-max	0	10	10	res-cold-max	0	10	10	res-ltng-max	0	10	10	res-pois-max	0	10	10	dex	0	15	15	allskills		2	2					0
Isenhart's Armory	Isenhart's Armory	0	11	str		10	10					dex		10	10																					lifesteal	0	5	5	res-all	0	10	10	att%	0	35	35	aura	Defiance	1	1	move2		20	20	allskills		2	2									0
Vidala's Rig	Vidala's Rig	0	19	att		75	75					dex		15	15																					dmg-cold	50	15	20	freeze	0	1	1	pierce	0	50	50	skill	Multiple Shot	10	10	allskills		2	2													0
Milabrega's Regalia	Milabrega's Regalia	0	23	att		75	75					att		125	125																					lifesteal	0	8	8	pal	0	2	2	manasteal	0	10	10	res-pois	0	15	15	allskills		2	2													0
Cathan's Traps	Cathan's Traps	0	15	dmg-fire		15	20					res-ltng		25	25																					oskill	Fire Ball	10	10	red-mag	0	3	3	res-all	0	25	25	cast1	0	10	10	mana%	0	5	5	allskills		2	2									0
Tancred's Battlegear	Tancred's Battlegear	0	27	dmg-ltng		15	15					lifesteal		5	5																					gethit-skill	Teeth	10	10	res-all	0	10	10	slow	0	35	35	manasteal	0	5	5	allskills		2	2													0
Sigon's Complete Steel	Sigon's Complete Steel	0	9	lifesteal		10	10					ac		100	100																					mana		20	20	vit	0	20	20	red-dmg	0	10	10	fire-max	0	24	24	oskill	Holy Shield	3	3	allskills		2	2									0
