index	version	enabled	ladder	rarity	nolimit	lvl	lvl req	code	*type	*uber	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	*eol
The Gnasher	0	1		1	1	7	5	hax	Hand Axe			5	5000	dyel			invhaxu				str		5	10	openwounds		10	50	crush		1	5	dmg%		30	70	oskill	Bash	1	1	splash	proc_SplashDamage	100	1																									0
Deathspade	0	1		1	1	12	9	axe	Axe			5	5000	dgld			invaxeu				stupidity		1	1	dmg-min		5	10	att%		5	15	mana-kill		4	4	dmg%		30	80	splash	proc_SplashDamage	100	1																									0
Bladebone	0	1		1	1	20	15	2ax	Double Axe			5	5000	lgry	lgry						dmg-undead		50	150	att-undead		20	50	swing2		5	25	ac		20	20	fire-min		5	10	fire-max		10	15	dmg%		15	75	splash	proc_SplashDamage	100	1																	0
Mindrend	0	1		1	1	28	21	mpi	Military Pick			5	5000	lgrn			invmpiu				stupidity		2	2	regen-mana		10	25	ltng-min		1	1	ltng-max		10	20	att		50	100	dmg%		30	150	openwounds		5	20	splash	proc_SplashDamage	100	1																	0
Rakescar	0	1		1	1	36	27	wax	War Axe			5	5000	dgry	dgry						pois-min		64	128	pois-max		128	256	pois-len		25	75	hit-skill	Poison Nova	25	1	res-pois		30	60	dmg%		50	175	swing2		15	45	splash	proc_SplashDamage	100	1																	0
Fechmars Axe	0	1		1	1	11	8	lax	Large Axe			5	5000	lpur	lpur						dmg%		50	110	freeze		3	3	res-cold		30	60	gethit-skill	Frost Nova	5	1	splash	proc_SplashDamage	100	1																													0
Goreshovel	0	1		1	1	19	14	bax	Broad Axe			5	5000	dpur	dpur						swing3		15	45	str		5	40	openwounds		30	75	dmg%		20	70	dmg-max		5	10	splash	proc_SplashDamage	100	1																									0
The Chieftan	0	1		1	1	26	19	btx	Battle Axe			5	5000	oran			invbtxu				dmg%		50	150	res-all		5	25	mana-kill		3	9	swing2		10	30	dmg-ltng		1	40	splash	proc_SplashDamage	100	1																									0
Brainhew	0	1		1	1	34	25	gax	Great Axe			5	5000	whit			invgaxu				dmg-min		5	20	mana		5	40	oskill	Teeth	1	3	manasteal		5	15	dmg%		30	100	dmg-fire		15	35	splash	proc_SplashDamage	100	1																					0
The Humongous	0	1		1	1	39	29	gix	Giant Axe			5	5000	blac	blac						str		15	35	dmg-min		5	10	dmg-max		10	30	crush		6	6	ease		-10	-30	dmg%		50	150	splash	proc_SplashDamage	100	1																					0
Iros Torch	0	1		1	1	7	5	wnd	Wand			5	5000	cred			invwndu				nec		1	2	lifesteal		5	5	dmg-fire		5	9	manasteal		10	10	enr		5	15	regen-mana		5	5	splash	proc_SplashDamage	100	1																					0
Maelstromwrath	0	1		1	1	19	14	ywn	Yew Wand			5	5000	dblu	dblu						ltng-min		1	1	ltng-max		5	15	res-ltng		20	50	mana		10	20	cast2		15	45	skill	74	1	3	skill	77	1	3	skill	66	1	3	skill	76	1	3	splash	proc_SplashDamage	100	1									0
Gravenspine	0	1		1	1	27	20	bwn	Bone Wand			5	5000	cgrn			invbwnu				str		5	15	dex		5	15	cold-min		1	5	cold-max		5	10	cold-len		75	75	manasteal		5	5	nec		1	2	mana		25	50	splash	proc_SplashDamage	100	1													0
Umes Lament	0	1		1	1	38	28	gwn	Grim Wand			5	5000	lblu	lblu						nec		1	2	mana		20	50	cast2		10	30	howl		15	50	skill	77	3	3	skill	87	1	2	splash	proc_SplashDamage	100	1																					0
Felloak	0	1		1	1	4	3	clb	Club			5	5000	lgry			invclbu				res-ltng		50	70	res-fire		15	25	knock		1	1	fire-min		1	5	fire-max		5	10	dmg%		50	100	oskill	Bash	1	1	splash	proc_SplashDamage	100	1																	0
Knell Striker	0	1		1	1	7	5	scp	Scepter			5	5000	dred	dred						crush		5	5	res-fire		10	30	res-pois		10	30	mana		10	20	att		20	50	dmg%		50	100	aura	Might	1	1	splash	proc_SplashDamage	100	1																	0
Rusthandle	0	1		1	1	23	17	gsc	Grand Scepter			5	5000	lgld	lgld						pal		1	2	dmg-norm		3	7	red-mag		1	5	lifesteal		5	10	dmg%		40	70	dmg-undead		30	80	skill	111	1	3	skill	103	1	5	splash	proc_SplashDamage	100	1													0
Stormeye	0	1		1	1	31	23	wsp	War Scepter			5	5000	cred	cred						dmg-ltng		5	15	dmg-cold	75	5	10	regen		5	15	dmg%		50	150	skill	110	1	5	skill	118	1	4	skill	121	1	1	splash	proc_SplashDamage	100	1																	0
Stoutnail	0	1		1	1	7	5	spc	Spiked Club			5	5000	dgry			invspcu				red-mag		1	5	dmg%		50	150	vit		5	15	splash	proc_SplashDamage	100	1																																	0
Crushflange	0	1		1	1	12	9	mac	Mace			5	5000	blac	blac						str		5	25	aura	Might	1	1	oskill	Bash	1	1	res-fire		30	70	dmg%		40	70	crush		6	6	splash	proc_SplashDamage	100	1																					0
Bloodrise	0	1		1	1	20	15	mst	Morning Star			5	5000	lblu			invmstu				dmg%		100	140	att%		30	70	openwounds		20	30	manasteal		5	5	swing1		5	15	skill	96	1	4	lifesteal		5	5	splash	proc_SplashDamage	100	1																	0
The Generals Tan Do Li Ga	0	1		1	1	28	21	fla	Flail			5	5000	dblu	dblu						oskill	Zeal	1	2	dmg-max		10	30	slow		50	50	ac		10	40	manasteal		5	5	dmg%		30	70	swing2		10	30	splash	proc_SplashDamage	100	1																	0
Ironstone	0	1		1	1	36	27	whm	War Hammer			5	5000	cblu	cblu						att		100	150	dmg%		100	150	ltng-min		1	1	ltng-max		10	10	str		10	10	oskill	Iron Skin	1	1	splash	proc_SplashDamage	100	1																					0
Bonesob	0	1		1	1	32	24	mau	Maul			5	5000	lred			invmauu				dmg%		100	250	crush		8	8	res-fire		30	30	res-cold		30	30	dmg-undead		50	50	gethit-skill	Bone Armor	10	1	splash	proc_SplashDamage	100	1																					0
Steeldriver	0	1		1	1	39	29	gma	Great Maul			5	5000	cgrn	cgrn		invgma				ease		-50	-50	swing3		25	50	vit		15	15	aura	Concentration	1	3	splash	proc_SplashDamage	100	1																													0
Rixots Keen	0	1		1	1	3	2	ssd	Short Sword			5	5000	blac	blac						dmg-min		5	5	att%		10	25	swing2		5	20	crush		5	5	ac		25	25	dmg%		50	200	splash	proc_SplashDamage	100	1																					0
Blood Crescent	0	1		1	1	10	7	scm	Scimitar			5	5000	lblu			invscmu				res-all		10	20	dmg%		30	100	hp		10	25	lifesteal		15	15	openwounds		20	40	swing2		10	20	splash	proc_SplashDamage	100	1																					0
Krintizs Skewer	0	1		1	1	14	10	sbr	Saber			5	5000	cblu			inv9sbu				ignore-ac		1	1	str		10	10	dex		10	10	manasteal		7	7	dmg%		25	60	dmg-norm		3	7	splash	proc_SplashDamage	100	1																					0
Gleamscythe	0	1		1	1	18	13	flc	Falchion			5	5000	lred			invflcu				dmg-cold	50	5	15	mana		30	30	ac		20	20	swing2		10	25	dmg%		60	100	splash	proc_SplashDamage	100	1																									0
Azurewrath0	0	0		1	1	18	13	crs	Crystal Sword			5	5000	lgry			invcrsu				deadly		25	60	mag%		5	15	dmg-cold	100	3	6	dmg%		50	120	dmg-mag		5	10	splash	proc_SplashDamage	100	1																									0
Griswolds Edge	0	1		1	1	23	17	bsd	Broad Sword			5	5000	cred			invbsdu				fire-min		5	15	fire-max		15	25	att		100	100	swing1		5	15	knock		1	1	dmg%		50	130	str		10	15	hit-skill	Amplify Damage	10	1	splash	proc_SplashDamage	100	1													0
Hellplague	0	1		1	1	30	22	lsd	Long Sword			5	5000	dred			invlsdu				manasteal		5	5	lifesteal		5	5	pois-min		48	48	pois-max		96	96	pois-len		150	150	dmg%		50	100	dmg-fire		25	75	fireskill		1	3	splash	proc_SplashDamage	100	1													0
Culwens Point	0	1		1	1	39	29	wsd	War Sword			5	5000	whit	whit						allskills		1	1	res-pois-len		50	50	balance2		20	20	swing2		10	25	att		60	60	dmg%		50	100	oskill	Sword Mastery	1	1	splash	proc_SplashDamage	100	1																	0
Shadowfang	0	1		1	1	16	12	2hs	2-Handed Sword			5	5000	cgrn			inv2hsu				manasteal		10	15	res-cold		20	20	dmg-mag		10	30	lifesteal		10	15	dmg%		50	150	hit-skill	Dim Vision	25	10	splash	proc_SplashDamage	100	1																					0
Soulflay	0	1		1	1	26	19	clm	Claymore			5	5000	dgrn	dgrn						manasteal		5	15	lifesteal		5	5	dmg%		50	110	res-all		5	15	swing2		5	15	hit-skill	Weaken	15	3	splash	proc_SplashDamage	100	1																					0
Kinemils Awl	0	1		1	1	31	23	gis	Giant Sword			5	5000	dblu			invgisu				att		100	150	mana		20	20	fire-min		6	6	fire-max		20	40	dmg%		80	100	aura	Holy Fire	10	15	splash	proc_SplashDamage	100	1																					0
Blacktongue	0	1		1	1	35	26	bsw	Bastard Sword			5	5000	lgrn			invbswu				dmg-pois	150	192	192	noheal		1	1	att		50	50	res-pois		50	50	dmg%		40	65	hp		10	25	splash	proc_SplashDamage	100	1																					0
Ripsaw	0	1		1	1	35	26	flb	Flamberge			5	5000	cblu	cblu						openwounds		25	75	dmg-max		15	15	manasteal		6	6	dmg%		50	110	hit-skill	Confuse	25	5	splash	proc_SplashDamage	100	1																									0
The Patriarch	0	1		1	1	39	29	gsd	Great Sword			5	5000	cred			invgsdu				red-dmg%		5	5	red-mag		5	5	stupidity		1	1	oskill	145	1	2	dmg%		100	120	str		10	10	splash	proc_SplashDamage	100	1																					0
Gull	0	1		1	1	6	4	dgr	Dagger			5	5000	lgry	lgry						dmg-min		1	5	dmg-max		15	15	mag%		50	120	mana		5	15	splash	proc_SplashDamage	100	1																													0
The Diggler	0	1		1	1	15	11	dir	Dirk			5	5000	dgry	dgry						dex		10	10	dmg%		25	75	swing3		10	40	res-cold		25	25	res-fire		25	25	ignore-ac		1	1	splash	proc_SplashDamage	100	1																					0
The Jade Tan Do	0	1		1	1	26	19	kri	Kris			5	5000	oran			invkrsu				att		100	150	nofreeze		1	1	dmg-pois	100	460	460	res-pois		95	95	res-pois-max		20	20	splash	proc_SplashDamage	100	1																									0
Irices Shard	0	1		1	1	34	25	bld	Blade			5	5000	dblu	dblu						cast3		30	50	mana		50	50	att		55	55	res-all		5	15	splash	proc_SplashDamage	100	1																													0
The Dragon Chang	0	1		1	1	11	8	spr	Spear			5	5000	dpur	dpur						att		35	35	dmg-min		10	10	oskill	Jab	1	3	dmg-undead		50	120	dmg-fire		3	6	splash	proc_SplashDamage	100	1																									0
Razortine	0	1		1	1	16	12	tri	Trident			5	5000	oran			invtriu				slow		10	30	reduce-ac		50	50	str		15	15	dex		5	10	swing2		20	35	dmg%		30	50	oskill	Spear Mastery	1	1	splash	proc_SplashDamage	100	1																	0
Bloodthief	0	1		1	1	23	17	brn	Brandistock			5	5000	whit	whit						openwounds		25	75	str		10	10	lifesteal		10	15	hp		26	26	dmg%		50	70	splash	proc_SplashDamage	100	1																									0
Lance of Yaggai	0	1		1	1	30	22	spt	Spetum			5	5000	lred	lred						swing2		20	50	ltng-min		10	20	ltng-max		50	60	res-all		10	20	gethit-skill	Nova	20	3	splash	proc_SplashDamage	100	1																									0
The Tannr Gorerod	0	1		1	1	36	27	pik	Pike			5	5000	lgry	lgry						fire-min		23	23	fire-max		54	54	res-fire-max		15	15	hp		30	30	att		60	60	lifesteal		10	30	res-fire		15	15	dmg%		50	120	splash	proc_SplashDamage	100	1													0
Dimoaks Hew	0	1		1	1	11	8	bar	Bardiche			5	5000	blac	blac						dex		15	15	dmg%		50	120	swing2		10	25	oskill	Pole Arm Mastery	1	1	splash	proc_SplashDamage	100	1																													0
Steelgoad	0	1		1	1	19	14	vou	Voulge			5	5000	cgrn	cgrn						howl		10	30	deadly		10	50	att		30	30	res-all		5	5	dmg%		60	80	splash	proc_SplashDamage	100	1																									0
Soul Harvest	0	1		1	1	26	19	scy	Scythe			5	5000	dgry			invscyu				openwounds		30	50	att		45	45	res-all		20	20	dmg%		50	90	manasteal		10	10	enr		5	5	splash	proc_SplashDamage	100	1																					0
The Battlebranch	0	1		1	1	34	25	pax	Poleaxe			5	5000	lblu	lblu						swing3		20	40	dex		10	10	dmg%		30	80	att		50	100	lifesteal		10	15	oskill	Pole Arm Mastery	1	1	splash	proc_SplashDamage	100	1																					0
Woestave	0	1		1	1	38	28	hal	Halberd			5	5000	dblu	dblu						slow		25	50	openwounds		25	75	stupidity		3	3	dmg-ac		-50	-50	freeze		1	1	oskill	Pole Arm Mastery	1	1	noheal		1	1	dmg%		20	40	*enr		-30	-30	splash	proc_SplashDamage	100	1									0
The Grim Reaper	0	1		1	1	39	29	wsc	War Scythe			5	5000	lpur	lpur						deadly		25	50	noheal		1	1	manasteal		5	5	dmg%		10	25	dmg-min		15	15	oskill	Pole Arm Mastery	1	1	splash	proc_SplashDamage	100	1																					0
Bane Ash	0	1		1	1	7	5	sst	Short Staff			5	5000	lgrn	lgrn						fire-min		4	4	fire-max		6	6	res-fire		50	50	mana		30	30	cast2		20	20	dmg%		30	75	skill	36	1	7	skill	37	1	3	ac		25	45	red-dmg%		5	12	splash	proc_SplashDamage	100	1					0
Serpent Lord	0	1		1	1	12	9	lst	Long Staff			5	5000	cgrn	cgrn						dmg-pois	75	40	40	res-pois		25	60	cast2		10	10	mana		10	10	dmg%		30	40	manasteal		10	50	reduce-ac		50	50	ac		50	90	red-dmg%		6	14	splash	proc_SplashDamage	100	1									0
Lazarus Spire	0	1		1	1	24	18	cst	Gnarled Staff			5	5000	lgry			invcstu				res-ltng		75	75	red-dmg		5	5	enr		15	15	skill	53	1	1	skill	49	1	2	skill	42	1	4	regen-mana		43	43	cast2		5	15	sor		1	1	ac		50	80	red-dmg%		8	16	splash	proc_SplashDamage	100	1	0
The Salamander	0	1		1	1	28	21	bst	Battle Staff			5	5000	dred	dred						dmg-fire		15	32	res-fire		15	35	skill	51	1	1	skill	47	1	2	skill	37	1	3	fireskill		2	2	extra-fire		5	10	cast2		10	25	red-dmg%		10	20	splash	proc_SplashDamage	100	1									0
The Iron Jang Bong	0	1		1	1	38	28	wst	War Staff			5	5000	dyel	dyel						ac		150	250	cast3		15	25	dmg%		50	120	att%		30	60	skill	48	1	2	skill	46	2	2	skill	44	1	5	sor		1	4	red-dmg%		12	24	splash	proc_SplashDamage	100	1									0
Pluckeye	0	1		1	1	10	7	sbw	Short Bow			5	5000	cblu	cblu						att		28	28	dmg%		50	120	hp		10	10	ama		1	2	manasteal		3	3	mana-kill		2	2																									0
Witherstring	0	1		1	1	18	13	hbw	Hunter’s Bow			5	5000	lred	lred						swing3		20	40	dmg-min		1	1	dmg-max		3	3	att		50	50	magicarrow		3	3	dmg%		30	55																									0
Rimeraven	0	1		1	1	20	15	lbw	Long Bow			5	5000	dred	dred						att%		25	60	dex		3	3	explosivearrow		3	3	str		3	3	dmg%		50	75																													0
Piercerib	0	1		1	1	27	20	cbw	Composite Bow			5	5000	cred			invcbwu				res-all		10	20	deadly		15	40	att		60	60	dmg-undead		100	100	dmg%		40	60	swing2		25	60																									0
Pullspite	0	1		1	1	34	25	sbb	Short Battle Bow			5	5000	lgrn			invsbbu				dmg-ltng		1	30	str		5	10	att		28	28	pierce		25	50	res-ltng		25	25	dmg%		50	100																									0
Wizendraw	0	1		1	1	35	26	lbb	Long Battle Bow			5	5000	dgrn	dgrn						magicarrow		5	5	mana		30	30	swing2		10	25	res-cold		26	26	att		50	100	dmg%		50	100	enr		15	15	pierce-cold		20	35																	0
Hellclap	0	1		1	1	36	27	swb	Short War Bow			5	5000	cgrn			invswbu				swing1		5	15	fire-min		15	15	fire-max		30	50	att		50	75	res-fire		40	40	dex		10	15	dmg%		70	90	fireskill		1	1																	0
Blastbark	0	1		1	1	38	28	lwb	Long War Bow			5	5000	lyel	lyel						dmg%		70	130	str		5	5	ama		1	1	manasteal		3	3	skill	16	1	2																													0
Leadcrow	0	1		1	1	12	9	lxb	Light Crossbow			5	5000	dyel			invlxbu				dex		10	10	hp		10	20	dmg%		50	85	res-pois		30	30	deadly		25	25	att		40	40																									0
Ichorsting	0	1		1	1	24	18	mxb	Crossbow			5	5000	lgld			invmxbu				dmg-pois	75	102	102	dex		20	20	pierce		50	50	att		50	50	dmg%		30	60	swing2		10	25																									0
Hellcast	0	1		1	1	36	27	hxb	Heavy Crossbow			5	5000	dgld			invhxbu				explosivearrow		5	5	res-fire-max		15	15	res-fire		15	15	att		70	70	swing2		10	25	dmg%		50	100	dmg-fire		15	35																					0
Doomspittle	0	1		1	1	38	28	rxb	Repeating Crossbow			5	5000	lpur			invrxbu				ama		1	3	pierce		35	75	swing3		30	30	hp		15	30	dmg%		60	100																													0
War Bonnet	0	1		1	1	4	3	cap	Cap			5	5000	dpur			invcapu				hp		10	20	att		30	30	dmg%		30	30	mana		15	30	ac		10	20	allskills	1	1																										0
Tarnhelm	0	1		1	1	20	15	skp	Skull Cap			5	5000	oran	oran						gold%		50	100	mag%		25	50	allskills		1	1																																					0
Coif of Glory	0	1		1	1	19	14	hlm	Helm			5	5000	whit			invhlmu				ac		25	50	stupidity		1	1	res-ltng		15	15	ac-miss		50	200																																	0
Duskdeep	0	1		1	1	23	17	fhl	Full Helm			5	5000	lgry			invfhlu				light		1	2	res-all		10	20	red-dmg		7	7	gethit-skill	Cloak of Shadows	5	1	ac		25	50	ac%		30	50																									0
Wormskull	0	1		1	1	28	21	bhm	Bone Helm			5	5000	lgrn			invbhmu				nec		1	2	lifesteal		5	5	mana		5	15	res-pois		25	25	dmg-pois	200	102	102																													0
Howltusk	0	1		1	1	34	25	ghm	Great Helm			5	5000	dgry	dgry						red-mag		1	5	howl		33	33	ac%		50	100	dmg-to-mana		5	5	knock		1	1																													0
Undead Crown	0	1		1	1	39	29	crn	Crown			5	5000	blac	blac						lifesteal		5	5	ac		40	40	res-pois		50	50	half-freeze		1	1	ac%		30	60	dmg-undead		50	50	att-undead		50	100	skill	69	1	5																	0
The Face of Horror	0	1		1	1	27	20	msk	Mask			5	5000	lblu	lblu						howl		25	50	str		20	20	res-all		10	20	dmg-undead		50	50	ac		25	25																													0
Greyform	0	1		1	1	10	7	qui	Quilted Armor			5	5000	lgry	lgry						red-mag		1	5	res-cold		10	25	res-fire		20	20	dex		10	10	lifesteal		5	5	ac		20	20																									0
Blinkbats Form	0	1		1	1	16	12	lea	Leather Armor			5	5000	dred	dred						ac-miss		50	200	move2		5	15	ac		25	25	fire-min		5	5	fire-max		15	15	balance2		20	50																									0
The Centurion	0	1		1	1	19	14	hla	Hard Leather			5	5000	cred	cred						ac		50	50	att		50	50	red-dmg		1	5	hp		15	15	mana		15	15	vit		10	10	regen		5	10																					0
