name	type	type2	code	alternateGfx	namestr	version	compactsave	rarity	spawnable	mindam	maxdam	1or2handed	2handed	2handmindam	2handmaxdam	minmisdam	maxmisdam		rangeadder	speed	minac	maxac	block	StrBonus	DexBonus	reqstr	reqdex	durability	nodurability	level	levelreq	cost	gamble cost	magic lvl	auto prefix	OpenBetaGfx	normcode	ubercode	ultracode	wclass	2handedwclass	component	hit class	invwidth	invheight	stackable	minstack	maxstack	spawnstack	flippyfile	invfile	uniqueinvfile	setinvfile	hasinv	gemsockets	gemapplytype	special	useable	dropsound	dropsfxframe	usesound	unique	transparent	transtbl	quivered	lightradius	belt	quest	questdiffcheck	missiletype	durwarning	qntwarning	gemoffset	bitfield1	CharsiMin	CharsiMax	CharsiMagicMin	CharsiMagicMax	CharsiMagicLvl	GheedMin	GheedMax	GheedMagicMin	GheedMagicMax	GheedMagicLvl	AkaraMin	AkaraMax	AkaraMagicMin	AkaraMagicMax	AkaraMagicLvl	FaraMin	FaraMax	FaraMagicMin	FaraMagicMax	FaraMagicLvl	LysanderMin	LysanderMax	LysanderMagicMin	LysanderMagicMax	LysanderMagicLvl	DrognanMin	DrognanMax	DrognanMagicMin	DrognanMagicMax	DrognanMagicLvl	HraltiMin	HraltiMax	HraltiMagicMin	HraltiMagicMax	HratliMagicLvl	AlkorMin	AlkorMax	AlkorMagicMin	AlkorMagicMax	AlkorMagicLvl	OrmusMin	OrmusMax	OrmusMagicMin	OrmusMagicMax	OrmusMagicLvl	ElzixMin	ElzixMax	ElzixMagicMin	ElzixMagicMax	ElzixMagicLvl	AshearaMin	AshearaMax	AshearaMagicMin	AshearaMagicMax	AshearaMagicLvl	CainMin	CainMax	CainMagicMin	CainMagicMax	CainMagicLvl	HalbuMin	HalbuMax	HalbuMagicMin	HalbuMagicMax	HalbuMagicLvl	JamellaMin	JamellaMax	JamellaMagicMin	JamellaMagicMax	JamellaMagicLvl	LarzukMin	LarzukMax	LarzukMagicMin	LarzukMagicMax	LarzukMagicLvl	DrehyaMin	DrehyaMax	DrehyaMagicMin	DrehyaMagicMax	DrehyaMagicLvl	MalahMin	MalahMax	MalahMagicMin	MalahMagicMax	MalahMagicLvl	Source Art	Game Art	Transform	InvTrans	SkipName	NightmareUpgrade	HellUpgrade	Nameable	PermStoreItem	
Hand Axe	axe		hax	hax	hax	0		3	1	3	6										0	0	0	200	100			60		3	0	166	13530			hax	hax	9ha	7ha	1hs	1hs	5	1hsl	1	3					flphax	invhax	invhaxu	invhaxu	1	3	0		0	item_smallmetalweapon	12	item_smallmetalweapon	0	0	5	0	0	0			35	7	0	0	3		1		1	5	1	1			5					5					20					20					20					20					20					20	1	1		1	20					20					20					20					20					20					20					20			2	2	0	axe	2ax	1	0	300
Axe	axe		axe	axe	axe	0		4	1	4	11								1	10	0	0	0	200	100	32		60		7	0	330	26463			axe	axe	9ax	7ax	1hs	1hs	5	1hsl	2	3					flpaxe	invaxe	invaxeu	invaxeu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	5	1	1	1	1	5					5					20					20					20					20					20					20	1	1	1	1	20					20					20					20					20					20					20					20			2	2	0	2ax	mpi	1	0	300
Double Axe	axe		2ax	axe	2ax	0		4	1	5	13								1	10	0	0	0	220	80	43		60		13	0	630	61047			axe	2ax	92a	72a	1hs	1hs	5	1hsl	2	3					flp2ax	inv2ax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5			1	1	5					5	1	1		1	20					20					20					20					20					20					20					20					20					20					20					20					20					20			2	2	0	mpi	wax	1	0	300
Military Pick	axe		mpi	axe	mpi	0		4	1	7	11								1	-10	0	0	0	175	125	49	33	60		19	0	954	116997			axe	mpi	9mp	7mp	1hs	1hs	5	1hsl	2	3					flpmpi	invmpi	invmpiu	invmpiu	1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5		1		1	20					20					20	1	1		1	20					20					20					20					20					20			1	1	20					20					20					20					20			2	2	0	wax	xxx	1	0	300
War Axe	axe		wax	hax	wax	0		4	1	10	18								2		0	0	0	235	65	67		60		25	0	1350	204225			hax	wax	9wa	7wa	1hs	1hs	5	1hsl	2	3					flpwax	invwax			1	6	0		0	item_sword	12	item_sword	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20	1	1	1	1	20					20					20					20					20					20	1	1	1	3	20					20	1	1	1	1	20					20					20			2	2	0	xxx	xxx	1	0	300
Large Axe	axe		lax	lax	lax	0		4	1				1	6	13				1	-10	0	0	0	235	65	35		60		6	0	296	22872			lax	lax	9la	7la	stf	stf	5	2hsl	2	3					flplax	invlax			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3	1	1	1	1	5	1	1	1	1	5					5					20					20					20					20					20					20	1	1		1	20					20					20					20					20					20					20					20			2	2	0	btx	gax	1	0	300
Broad Axe 	axe		bax	lax	bax	0		4	1				1	10	18				1		0	0	0	235	65	48		60		12	0	588	54516			lax	bax	9ba	7ba	stf	stf	5	2hsl	2	3					flpbrx	invbrx			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5	1	1	1	1	5					5	1	1	1	1	20					20					20					20					20					20	1	1	1	1	20					20					20					20					20					20					20					20			2	2	0	gax	gix	1	0	300
Battle Axe	axe		btx	btx	btx	0		4	1				1	12	32				1	10	0	0	0	235	65	54		60		17	0	862	97362			lax	btx	9bt	7bt	stf	stf	5	2hsl	2	3					flpbtx	invbtx	invbtxu	invbtxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5	1	1	1	1	20					20					20	1	1		1	20					20					20					20					20					20					20					20					20					20					20			5	2	0	gix	xxx	1	0	300
Great Axe	axe		gax	btx	gax	0		4	1				1	9	30				2	-10	0	0	0	190	110	63	39	60		23	0	1236	174204			lax	gax	9ga	7ga	stf	stf	5	2hsl	2	4					flpgax	invgax	invgaxu	invgaxu	1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20	1	1	1	1	20					20					20					20					20					20					20					20					20					20					20			2	2	0	xxx	xxx	1	0	300
Giant Axe	axe		gix	gix	gix	0		4	1				1	22	45				3	10	0	0	0	260	40	70		60		27	0	1508	243210			lax	gix	9gi	7gi	stf	stf	5	2hsl	2	3					flpgix	invgix			1	6	0		0	item_largemetalweapon	12	item_largemetalweapon	0	0	5	0	0	0			0	7	0	0	3					5					5					5					20					20					20		1			20					20				1	20					20					20					20	1	1	2	2	20					20	1	1	1	1	20					20					20			2	2	0	xxx	xxx	1	0	300
